Date,Case,County
30/09/2020, 5, Carlow, 
30/09/2020, 10, Cavan, 
30/09/2020, 17, Clare, 
30/09/2020, 47, Cork, 
30/09/2020, 28, Donegal, 
30/09/2020, 166, Dublin, 
30/09/2020, 21, Galway, 
30/09/2020, 2, Kerry, 
30/09/2020, 9, Kildare, 
30/09/2020, 4, Kilkenny, 
30/09/2020, 11, Laois, 
30/09/2020, 2, Leitrim, 
30/09/2020, 6, Limerick, 
30/09/2020, 11, Longford, 
30/09/2020, 4, Louth, 
30/09/2020, 2, Mayo, 
30/09/2020, 23, Meath, 
30/09/2020, 21, Monaghan, 
30/09/2020, 4, Offaly, 
30/09/2020, 12, Roscommon, 
30/09/2020, 2, Sligo, 
30/09/2020, 11, Tipperary, 
30/09/2020, 4, Waterford, 
30/09/2020, 4, Westmeath, 
30/09/2020, 5, Wexford, 
30/09/2020, 7, Wicklow, 
01/10/2020, 1, Carlow, 
01/10/2020, 9, Cavan, 
01/10/2020, 9, Clare, 
01/10/2020, 61, Cork, 
01/10/2020, 36, Donegal, 
01/10/2020, 181, Dublin, 
01/10/2020, 10, Galway, 
01/10/2020, 12, Kerry, 
01/10/2020, 19, Kildare, 
01/10/2020, 9, Kilkenny, 
01/10/2020, -3, Laois, 
01/10/2020, 0, Leitrim, 
01/10/2020, 19, Limerick, 
01/10/2020, 9, Longford, 
01/10/2020, 8, Louth, 
01/10/2020, 4, Mayo, 
01/10/2020, 12, Meath, 
01/10/2020, 4, Monaghan, 
01/10/2020, 9, Offaly, 
01/10/2020, 9, Roscommon, 
01/10/2020, 1, Sligo, 
01/10/2020, 7, Tipperary, 
01/10/2020, 1, Waterford, 
01/10/2020, 9, Westmeath, 
01/10/2020, 6, Wexford, 
01/10/2020, 18, Wicklow, 
02/10/2020, 7, Carlow, 
02/10/2020, 8, Cavan, 
02/10/2020, 17, Clare, 
02/10/2020, 46, Cork, 
02/10/2020, 58, Donegal, 
02/10/2020, 224, Dublin, 
02/10/2020, 18, Galway, 
02/10/2020, 21, Kerry, 
02/10/2020, 43, Kildare, 
02/10/2020, 5, Kilkenny, 
02/10/2020, 32, Laois, 
02/10/2020, 1, Leitrim, 
02/10/2020, 31, Limerick, 
02/10/2020, 3, Longford, 
02/10/2020, 12, Louth, 
02/10/2020, 6, Mayo, 
02/10/2020, 13, Meath, 
02/10/2020, 12, Monaghan, 
02/10/2020, 9, Offaly, 
02/10/2020, 7, Roscommon, 
02/10/2020, 7, Sligo, 
02/10/2020, 9, Tipperary, 
02/10/2020, 3, Waterford, 
02/10/2020, 5, Westmeath, 
02/10/2020, 8, Wexford, 
02/10/2020, 9, Wicklow, 
03/10/2020, 1, Carlow, 
03/10/2020, 5, Cavan, 
03/10/2020, 17, Clare, 
03/10/2020, 55, Cork, 
03/10/2020, 31, Donegal, 
03/10/2020, 101, Dublin, 
03/10/2020, 23, Galway, 
03/10/2020, 10, Kerry, 
03/10/2020, 6, Kildare, 
03/10/2020, 6, Kilkenny, 
03/10/2020, 4, Laois, 
03/10/2020, 3, Leitrim, 
03/10/2020, 24, Limerick, 
03/10/2020, 2, Longford, 
03/10/2020, 4, Louth, 
03/10/2020, 5, Mayo, 
03/10/2020, 5, Meath, 
03/10/2020, 2, Monaghan, 
03/10/2020, 6, Offaly, 
03/10/2020, 13, Roscommon, 
03/10/2020, 14, Sligo, 
03/10/2020, 8, Tipperary, 
03/10/2020, 4, Waterford, 
03/10/2020, 2, Westmeath, 
03/10/2020, 4, Wexford, 
03/10/2020, 8, Wicklow, 
04/10/2020, 1, Carlow, 
04/10/2020, 21, Cavan, 
04/10/2020, 32, Clare, 
04/10/2020, 49, Cork, 
04/10/2020, 33, Donegal, 
04/10/2020, 130, Dublin, 
04/10/2020, 22, Galway, 
04/10/2020, 9, Kerry, 
04/10/2020, 15, Kildare, 
04/10/2020, 1, Kilkenny, 
04/10/2020, 11, Laois, 
04/10/2020, 0, Leitrim, 
04/10/2020, 42, Limerick, 
04/10/2020, 6, Longford, 
04/10/2020, 18, Louth, 
04/10/2020, 5, Mayo, 
04/10/2020, 34, Meath, 
04/10/2020, 19, Monaghan, 
04/10/2020, 18, Offaly, 
04/10/2020, 4, Roscommon, 
04/10/2020, 7, Sligo, 
04/10/2020, 13, Tipperary, 
04/10/2020, 1, Waterford, 
04/10/2020, 4, Westmeath, 
04/10/2020, 10, Wexford, 
04/10/2020, 6, Wicklow, 
05/10/2020, 0, Carlow, 
05/10/2020, 15, Cavan, 
05/10/2020, 32, Clare, 
05/10/2020, 41, Cork, 
05/10/2020, 51, Donegal, 
05/10/2020, 110, Dublin, 
05/10/2020, 7, Galway, 
05/10/2020, 18, Kerry, 
05/10/2020, 13, Kildare, 
05/10/2020, 2, Kilkenny, 
05/10/2020, 1, Laois, 
05/10/2020, 0, Leitrim, 
05/10/2020, 17, Limerick, 
05/10/2020, 4, Longford, 
05/10/2020, 13, Louth, 
05/10/2020, 25, Mayo, 
05/10/2020, 20, Meath, 
05/10/2020, 15, Monaghan, 
05/10/2020, 6, Offaly, 
05/10/2020, 6, Roscommon, 
05/10/2020, 7, Sligo, 
05/10/2020, 8, Tipperary, 
05/10/2020, 8, Waterford, 
05/10/2020, 13, Westmeath, 
05/10/2020, 14, Wexford, 
05/10/2020, 6, Wicklow, 
